1566439818.000000, 1566439818.000000, 1566439818.000000
32.000000, 32.000000, 32.000000
-128,116,-56
-128,38,-22
-87,35,-24
-41,31,-10
18,28,1
34,43,5
47,45,7
50,53,5
-3,57,-3
-33,61,0
-101,62,7
-128,55,-14
-128,46,-40
-128,24,-4
-120,6,-1
-55,-10,4
-6,-30,9
8,-33,6
14,-33,-3
10,-45,-10
-13,-39,-14
-72,-13,-13
-103,-15,-6
-128,-21,-19
-128,39,-40
-128,28,-22
-119,9,-25
-67,15,-15
1,0,-13
26,9,-14
55,32,-6
51,59,-15
13,69,-3
-25,72,12
-108,64,16
-128,51,14
-128,47,-16
-128,26,8
-128,11,12
-75,-5,-1
-25,-23,1
-6,-24,6
23,-28,3
19,-43,-11
0,-47,-13
-58,-29,-12
-82,-7,-2
-111,-8,-3
-128,28,-61
-128,40,-29
-128,15,-29
-77,29,-12
-16,17,2
10,25,2
47,30,0
56,41,6
51,47,5
-7,62,-1
-79,63,19
-106,59,17
-128,96,-2
-128,57,8
-128,40,11
-81,13,4
-30,-29,0
-25,-38,-3
0,-30,3
11,-36,3
-6,-43,-2
-53,-24,-12
-63,-3,5
-86,-1,5
-128,6,-57
-128,47,-45
-128,31,-30
-89,28,-24
-53,22,-17
19,24,-3
63,34,3
64,37,-1
45,67,-3
-10,78,-5
-41,74,-2
-122,59,3
-128,72,-11
-128,63,7
-125,32,31
-80,5,-11
-64,-19,-9
-28,-43,1
-10,-39,-9
-8,-44,-10
-17,-46,-11
-59,-30,-10
-66,-16,-5
-98,11,3
-128,39,-31
-128,80,-15
-128,48,-4
-89,43,-9
-50,29,-5
9,18,-3
38,27,-6
47,30,-6
51,47,0
14,67,-1
-11,74,3
-94,65,23
-128,73,-10
-128,83,1
-128,33,8
-97,7,-6
-61,-7,-3
-25,-33,-2
-9,-36,0
-5,-38,2
-23,-39,-2
-61,-29,-13
-70,-17,-8
-83,-2,6
-128,15,-33
-128,74,-29
-128,68,0
-128,37,-14
-47,32,-5
5,19,-8
30,27,-10
55,32,-7
56,42,-9
46,58,-11
5,71,-12
-77,81,5
-128,88,-12
-128,111,1
-128,59,23
-123,40,21
-63,-4,3
-47,-43,-5
-34,-46,-2
-4,-45,3
-10,-53,-9
-29,-46,-13
-61,-19,-15
-78,5,-2
-128,5,-20
-128,67,-68
-128,91,-16
-122,49,-21
-61,44,-21
10,36,-4
40,36,0
58,37,2
62,50,0
47,61,-2
-6,82,-6
-70,67,9
-107,63,1
-128,88,-20
-128,47,-16
-128,25,-12
-85,-3,-4
-33,-36,-1
-23,-44,-2
-1,-39,-3
3,-44,-4
-11,-47,-8
-53,-23,-16
-65,6,0
-82,8,-2
-128,25,-90
-128,117,-2
-110,47,-6
-92,19,-24
-14,17,6
9,11,9
33,33,3
39,38,3
48,45,7
-5,71,-9
-49,77,-14
-101,51,-8
-128,69,-31
-128,58,-25
-128,22,3
-73,-5,2
-42,-23,7
-18,-39,3
10,-35,4
12,-42,1
-27,-45,-12
-59,-18,-10
-61,-6,1
-128,-16,-14
-128,36,-31
-128,71,-14
-128,31,-27
-47,23,-11
-6,23,-3
46,22,-2
59,32,-8
60,47,-11
19,67,-18
-58,80,-9
-88,77,7
-128,64,-15
-128,64,-18
-128,43,0
-106,8,7
-46,-23,1
-31,-36,-2
-10,-46,3
17,-46,12
14,-54,2
-27,-37,-9
-49,-4,7
-65,-6,5
-128,-29,-37
-128,57,-34
-128,50,-25
-98,26,-38
-15,23,-12
1,17,-6
33,28,-7
50,29,-12
47,41,-14
28,69,-14
-24,67,-13
-63,65,-10
-128,54,-53
-128,82,-52
-128,62,-6
-128,11,-20
-83,-12,-17
-29,-54,-12
8,-35,10
2,-30,5
-10,-45,-17
-13,-36,-13
-40,-23,-14
-78,-8,-16
-128,-4,-29
-128,38,-55
-128,70,-31
-98,24,-25
-60,24,-12
-18,5,-12
12,31,-16
32,33,-15
78,38,-4
33,66,-4
-13,73,-11
-68,64,11
-128,55,19
-128,83,-3
-128,40,13
-99,5,8
-50,-22,0
-34,-33,-2
0,-32,6
9,-33,4
11,-45,-6
-18,-33,-11
-48,-23,-16
-98,-1,-9
-128,4,-34
-128,42,-70
-128,45,-30
-103,26,-30
-63,36,-17
6,26,1
53,40,11
68,40,15
59,46,12
18,72,-2
-16,78,2
-94,72,8
-128,50,-29
-128,79,-24
-128,39,15
-94,-9,-5
-56,-9,2
2,-28,10
11,-35,7
16,-28,5
17,-36,-3
-12,-32,-11
-49,-24,-11
-119,-6,-7
-128,-5,-35
-128,22,-57
-128,42,-31
-128,10,-33
-75,22,-16
-6,21,0
27,26,1
56,35,4
58,45,4
46,56,0
-5,74,-8
-92,69,10
-128,62,3
-128,84,-6
-128,44,14
-128,29,18
-71,5,5
-26,-32,4
-20,-39,1
9,-32,-1
17,-39,-2
0,-37,-9
-47,-22,-24
-87,-2,-16
-128,5,-32
-128,53,-71
-128,87,-31
-128,43,-31
-63,26,-20
2,19,-5
29,19,3
61,23,4
66,35,-4
55,52,-8
-8,90,-6
-100,91,10
-128,82,-6
-128,70,-16
-128,39,13
-117,16,13
-64,-9,-8
-24,-30,-4
-11,-38,0
14,-35,1
22,-46,-9
6,-48,-13
-51,-24,-14
-89,-2,-4
-124,-5,-16
-128,47,-63
-128,93,-5
-125,62,4
-70,36,-11
-47,25,-19
3,26,-8
42,33,-2
64,41,5
65,56,7
6,84,-10
-22,81,9
-94,79,14
-128,106,-44
-128,83,-14
-109,31,11
-68,-10,-24
-55,-27,-24
-14,-46,-14
6,-47,-6
13,-50,-4
7,-46,-14
-55,-16,-22
-96,5,-17
-128,26,-18
-128,68,-62
-128,115,-55
-119,51,-22
-50,31,-6
-21,16,-2
17,15,0
38,27,0
51,30,3
53,39,5
4,69,-9
-39,78,-15
-122,81,-17
-128,72,-26
-128,68,-30
-124,35,5
-51,-10,0
-42,-32,-6
-30,-46,-10
5,-40,-3
9,-50,-8
-31,-39,-22
-65,-6,-17
-63,9,-5
-128,11,-37
-128,121,-57
-128,117,-26
-91,26,-13
-45,20,-13
-12,19,-4
41,29,7
64,28,7
66,34,7
20,59,-10
-18,68,-9
-86,64,5
-128,46,-16
-128,49,-34
-128,55,-6
-95,11,0
-67,3,-7
-40,-23,-9
-7,-31,2
10,-29,5
18,-36,1
-24,-35,-14
-56,-21,-22
-74,-3,-13
-128,-18,-8
-128,11,-30
-128,104,-5
-106,21,1
-67,24,-2
-23,16,-7
33,29,1
58,30,9
70,33,13
25,66,-13
-15,79,-19
-69,69,-1
-128,60,-10
-128,77,-22
-128,58,9
-103,3,16
-69,-12,8
-37,-40,5
-12,-49,14
2,-48,13
4,-48,1
-54,-20,-11
-77,-3,-6
-66,9,11
-128,-7,-31
-128,22,-66
-128,67,-37
-96,22,-28
-67,18,-25
0,18,-9
41,26,2
50,30,2
60,49,8
10,73,2
-36,77,2
-105,56,5
-128,63,1
-128,63,-13
-128,23,0
-89,8,3
-52,-2,7
-25,-28,1
-3,-31,1
7,-33,3
-3,-44,-6
-27,-35,-14
-68,-4,-21
-94,1,-5
-128,-2,-24
-128,63,-54
-128,42,-23
-99,27,-17
-56,21,-13
-5,18,-5
19,26,2
46,31,11
49,39,8
30,47,6
-44,60,-5
-118,60,-9
-128,48,-13
-128,35,-39
-128,29,-4
-102,4,-1
-48,-19,-4
-20,-34,-1
-2,-37,3
22,-37,7
11,-45,-1
-8,-37,-3
-75,-14,-24
-109,-2,-9
-128,-1,-30
-128,56,-56
-128,25,-38
-113,19,-36
-63,27,-18
1,25,-4
25,32,3
46,33,10
40,46,4
16,58,1
-58,72,6
-110,61,0
-128,47,-17
-128,27,-33
-128,24,-3
-103,12,2
-49,-14,2
-25,-37,0
-12,-39,1
9,-45,3
-6,-48,-7
-37,-39,-20
-90,-4,-29
-87,7,-8
-128,8,-46
-128,73,-51
-128,64,-33
-99,25,-26
-40,22,-15
-3,24,-2
36,30,6
50,34,8
38,55,7
15,62,-1
-48,61,-6
-77,49,-1
-128,34,-32
-128,27,-46
-128,20,-22
-110,3,-17
-38,-18,-2
-21,-33,-3
5,-45,-1
20,-46,0
15,-48,-3
-31,-32,-22
-91,-11,-30
-106,-5,-22
-128,17,-78
-128,71,-44
-128,28,-50
-92,30,-40
-37,12,-15
-8,14,-12
39,37,0
60,30,5
59,38,3
26,54,-10
-40,61,-3
-100,59,-19
-128,48,-46
-128,61,-20
-128,52,-3
-111,15,-8
-38,-10,2
-19,-23,9
-1,-30,9
5,-37,4
-5,-42,-1
-39,-25,-6
-48,-14,-4
-65,-17,-7
-128,0,-65
-128,77,-67
-128,72,-52
-104,15,-52
-59,20,-34
2,37,9
38,39,20
49,39,20
47,54,22
-2,74,-1
-43,75,-11
-100,51,-3
-128,41,-52
-128,32,-39
-128,23,-27
-89,4,-7
-60,-5,-2
-21,-29,4
7,-32,6
19,-33,3
11,-45,-7
-49,-27,-18
-69,-13,-24
-73,2,-8
-128,-14,-59
-128,25,-75
-128,56,-35
-100,9,-29
-61,18,-12
2,18,6
40,26,11
50,26,10
53,43,4
1,69,-7
-46,81,-12
-128,70,-22
-128,53,-35
-128,35,-28
-128,11,3
-63,-11,0
-41,-22,0
-9,-34,1
21,-31,2
27,-33,1
-2,-39,-12
-56,-18,-24
-64,-8,-17
-80,-12,1
-128,-2,-76
-128,60,-60
-128,35,-19
-91,13,-27
-51,20,-12
18,15,9
44,20,8
50,24,7
35,42,-4
15,57,-7
-53,79,-4
-115,57,-3
-128,37,-30
-128,27,-29
-128,18,8
-105,10,4
-29,-17,-1
-1,-37,-5
7,-35,-6
22,-34,-6
7,-41,-11
-24,-33,-17
-83,-12,-27
-98,-3,2
-128,-4,-28
-128,84,-61
-128,31,-9
-101,14,-16
-45,13,-15
17,16,-2
36,24,3
55,29,7
46,50,0
18,64,-10
-63,72,-15
-99,49,11
-128,35,-22
-128,32,-37
-128,13,9
-101,1,-5
-45,-20,-9
-6,-39,0
12,-35,4
30,-35,0
4,-39,-16
-24,-29,-19
-62,-3,-10
-92,-5,-7
-128,-8,-38
-128,79,-40
-128,40,-11
-128,18,-24
-54,14,-6
5,8,2
20,18,0
45,24,0
68,31,4
55,44,-4
-34,76,-32
-83,65,-5
-113,49,-23
-128,62,-40
-128,40,17
-128,20,10
-61,-6,-3
-24,-37,0
-21,-41,-2
12,-33,-3
21,-37,-6
-14,-45,-25
-46,-22,-20
-46,-12,-11
-109,-21,-17
-128,-2,-64
-128,60,-49
-128,56,-3
-84,18,-20
-52,30,-11
18,29,7
42,31,8
43,35,0
48,52,-8
10,76,-7
-20,75,-1
-105,65,-1
-128,67,-14
-128,46,-17
-128,17,3
-95,-2,-5
-56,-17,-5
-15,-44,-5
2,-47,-11
11,-48,-12
5,-51,-14
-37,-24,-19
-57,-11,-15
-102,0,-10
-128,-4,-49
-128,49,-71
-128,80,-22
-91,19,-20
-61,24,-14
-3,17,0
40,36,15
49,37,16
62,37,8
23,52,-4
-4,56,-8
-68,64,7
-128,72,-15
-128,90,-14
-128,57,-4
-111,22,2
-79,3,-3
-38,-34,-10
-7,-37,-6
9,-37,-6
12,-47,-14
-20,-41,-27
-37,-29,-26
-68,-13,-16
-106,-23,-24
-128,8,-76
-128,121,-21
-128,67,-9
-76,31,-15
-15,33,-1
14,25,6
46,26,6
52,37,9
52,38,9
-4,63,-6
-93,72,-14
-100,60,1
-128,47,-26
-128,43,-29
-122,15,-6
-89,0,-8
-46,-34,-12
-33,-44,-12
0,-48,-11
22,-53,-16
15,-57,-21
-29,-33,-31
-61,-3,-27
-96,-3,-19
-128,28,-92
-128,97,-27
-123,39,-13
-87,30,-28
-23,41,1
11,48,15
49,49,21
50,56,15
44,61,10
3,61,1
-79,69,10
-121,71,2
-128,73,-7
-128,54,-2
-128,33,2
-83,-3,-8
-34,-31,-21
-17,-39,-20
6,-38,-16
11,-48,-28
3,-47,-35
-31,-30,-42
-55,-13,-30
-93,-18,-33
-128,30,-92
-128,127,-68
-128,61,-4
-95,51,-24
-14,48,-4
22,44,-2
54,45,4
52,42,-3
54,52,-1
21,61,-11
-4,67,-13
-107,77,1
-128,82,-1
-128,86,-7
-128,48,15
-92,15,13
-57,3,-1
-30,-37,-22
-14,-58,-17
-2,-58,-10
-4,-62,-13
-42,-31,-25
-76,-11,-36
-93,12,-14
-128,2,-65
-128,61,-100
-128,111,-18
-85,30,-26
-58,40,-22
12,32,-3
44,42,-1
49,48,2
53,59,9
30,67,-7
-7,72,-15
-103,73,-3
-128,82,-17
-128,85,-37
-128,47,-12
-99,8,-13
-62,-11,-13
-19,-38,-7
-3,-45,-2
7,-44,-1
15,-44,-9
-37,-33,-14
-60,-20,-11
-93,-4,-13
-128,-6,-52
-128,43,-69
-128,69,-29
-89,24,-23
-56,30,-14
0,24,1
43,42,8
52,43,7
59,56,7
26,69,-16
-20,80,-17
-111,76,11
-128,61,-6
-128,85,-30
-128,19,10
-103,1,0
-62,-11,-8
-14,-34,4
0,-37,4
18,-42,-5
9,-44,-7
-14,-36,-5
-73,-18,-9
-100,-10,-13
-128,-15,-14
-128,35,-27
-128,75,-9
-128,43,-14
-67,33,-11
-7,24,1
15,28,-1
46,34,0
60,34,8
55,41,4
-12,69,0
-102,75,23
-126,64,20
-128,71,0
-128,54,6
-128,36,19
-65,-2,8
-20,-31,4
-15,-40,3
4,-42,-2
8,-46,-6
-7,-44,-7
-43,-26,-11
-57,-13,-3
-86,-20,-5
-128,-4,-48
-128,104,-32
-128,77,-8
-91,26,-18
-35,28,-13
-5,27,-9
43,30,5
53,37,-3
51,42,-5
22,69,-7
-48,74,7
-85,69,8
-128,66,-25
-128,58,-8
-128,42,-3
-101,4,-21
-69,-18,-19
-23,-46,-13
3,-40,-5
4,-47,-6
-10,-51,-9
-42,-30,-22
-71,-16,-33
-99,-3,-17
-128,4,-94
-128,65,-108
-128,69,-33
-73,19,-30
-42,22,-17
24,25,-5
55,42,2
61,46,2
60,49,1
10,63,-16
-27,72,-10
-116,85,4
-128,77,-43
-128,62,-34
-128,27,11
-70,-1,-4
-46,-10,-9
-21,-23,-1
12,-24,2
28,-35,-5
9,-67,-22
-65,-37,-30
-85,-19,-26
